,store_name,old_store_address,new_store_address,store_phone_number,store_office_time,store_service
0,고양 삼송 DT,경기 고양시 덕양구 동산동 74-1,경기 고양시 덕양구 고양대로 1948,"['070-7209-1577', '070-7209-0092']",24시간,"['24시간', '맥드라이브', '맥모닝', '주차', '디카페인 커피']"
1,서울시청,서울 중구 을지로1가 32,서울 중구 남대문로9길 51 효덕빌딩,['070-7017-0155'],07:00~24:00,"['맥딜리버리', '맥모닝', '디카페인 커피']"
2,한신,서울 노원구 하계동 284,서울 노원구 한글비석로 57 (하계동),['070-7017-0348'],24시간,"['24시간', '맥모닝', '디카페인 커피']"
3,영천DT,경북 영천시 망정동 206-9,경북 영천시 호국로 141,['070-7209-1594'],09:00~22:00,"['맥드라이브', '맥딜리버리', '맥모닝', '주차', '디카페인 커피']"
4,대구동호DT,대구 동구 신서동 718,대구 동구 안심로 403,['070-7209-1572'],07:00~24:00,"['맥드라이브', '맥딜리버리', '맥모닝', '주차', '디카페인 커피']"
5,진주혁신GSDT,경남 진주시 충무공동 222-1,경남 진주시 동진로 581,['070-7209-1569'],08:00~24:00,"['맥드라이브', '맥딜리버리', '맥모닝', '주차', '디카페인 커피']"
6,용인보라DT,경기 용인시 기흥구 하갈동 142-8,경기 용인시 기흥구 용구대로 1861,['070-7209-1549'],24시간,"['24시간', '맥드라이브', '맥딜리버리', '맥모닝', '주차', '디카페인 커피']"
7,진해용원DT,경남 창원시 진해구 용원동 1213-19,경남 창원시 진해구 용원로7번길 10,['070-7209-1527'],08:00~24:00,"['맥드라이브', '맥딜리버리', '맥모닝', '주차', '디카페인 커피']"
8,광양DT,전남 광양시 중동 1309-3,전남 광양시 동광길 5,"['070-7209-1529', '070-7209-0034']",07:00~24:00,"['맥드라이브', '맥딜리버리', '맥모닝', '주차', '디카페인 커피']"
9,제주중문DT,제주특별자치도 서귀포시 색달동 2558-1,제주특별자치도 서귀포시 중문관광로 38,['070-7209-1539'],08:00~23:00,"['맥드라이브', '맥모닝', '디카페인 커피']"
10,충남홍성DT,충남 홍성군 홍성읍 소향리 72-4,충남 홍성군 홍성읍 충서로 1528,['070-7209-0032'],07:00~24:00,"['맥드라이브', '맥딜리버리', '맥모닝', '주차', '디카페인 커피']"
11,인천계산DT,인천 계양구 계산동 1083-3,인천 계양구 오조산로 39,['070-7209-1524'],24시간,"['24시간', '맥드라이브', '맥딜리버리', '맥모닝', '주차', '디카페인 커피']"
12,부산초량 DT,부산 동구 초량동 1198-7,부산 동구 중앙대로 228,['070-7209-1521'],24시간,"['24시간', '맥드라이브', '맥딜리버리', '맥모닝', '주차', '디카페인 커피']"
13,진주가좌DT,경남 진주시 가좌동 644-3,경남 진주시 진주대로 612,['070-7209-1520'],24시간,"['24시간', '맥드라이브', '맥딜리버리', '맥모닝', '주차', '디카페인 커피']"
14,위례신도시,서울 송파구 장지동 896,서울 송파구 위례광장로 290번지 위례중앙푸르지오 2단지,['070-7209-1519'],24시간,"['24시간', '맥딜리버리', '맥모닝', '주차', '디카페인 커피']"
15,부산하단DT,부산 사하구 하단동 619-20,부산 사하구 낙동대로 431,['070-7209-1517'],24시간,"['24시간', '맥드라이브', '맥딜리버리', '맥모닝', '주차', '디카페인 커피']"
16,충남논산DT,충남 논산시 내동 343-1,충남 논산시 시민로 247,['070-7209-1516'],24시간,"['24시간', '맥드라이브', '맥딜리버리', '맥모닝', '주차', '디카페인 커피']"
17,망원점,서울 마포구 망원동 377-19,서울 마포구 월드컵로 81 (망원동),['070-7209-1510'],24시간,"['24시간', '맥딜리버리', '맥모닝', '디카페인 커피']"
18,평택소사벌점,경기 평택시 비전동 1090-2,경기 평택시 평남로 862,['070-7209-1502'],08:00~24:00,"['맥딜리버리', '맥모닝', '주차', '디카페인 커피']"
19,부산명지DT점,부산 강서구 명지동 3420-7,부산 강서구 명지국제8로 270,['070-7209-1573'],07:00~01:00,"['맥드라이브', '맥딜리버리', '맥모닝', '주차', '디카페인 커피']"
20,경주용강 DT,경북 경주시 용강동 875,경북 경주시 산업로 4364,['070-7209-0007'],08:00~24:00,"['맥드라이브', '맥딜리버리', '맥모닝', '주차', '디카페인 커피']"
21,목포남악DT점,전남 무안군 삼향읍 남악리 2148,전남 무안군 삼향읍 남악3로 58,['070-7209-0005'],07:00~01:00,"['맥드라이브', '맥딜리버리', '맥모닝', '주차', '디카페인 커피']"
