,쿠카쿠,(주)쿠카쿠,2017-06-01,3년4개월,0,3 명
0,평균,-,-,6년3개월,42.2,66.2 명
1,이디야커피,(주)이디야,2001-08-17,19년2개월,"2,399",358 명
2,투썸플레이스,투썸플레이스(주),2008-09-30,12년1개월,"1,001","1,622 명"
3,요거프레소,(주)요거프레소,2007-11-20,12년11개월,705,66 명
4,요거프레소,(주)요거프레소,2007-11-20,12년11개월,705,66 명
5,커피에반하다,(주)커피에반하다,2011-03-30,9년7개월,589,46 명
6,빽다방,(주)더본코리아,2009-09-07,11년1개월,571,224 명
7,엔제리너스,롯데지알에스(주),2007-02-23,13년8개월,554,"8,547 명"
8,커피베이,(주)커피베이,2011-06-30,9년4개월,539,56 명
9,파스쿠찌,(주)파리크라상,2009-06-05,11년4개월,441,"6,934 명"
10,할리스커피,(주)할리스에프앤비,1998-06-01,22년4개월,427,863 명
11,메가엠지씨커피(MEGA MGC COFFEE),(주)앤하우스,2016-03-09,4년7개월,403,43 명
12,카페베네,(주)카페베네,2008-06-28,12년4개월,354,117 명
13,더벤티,(주)더벤티코리아,2014-03-21,6년7개월,282,45 명
14,탐앤탐스커피,(주)탐앤탐스,2004-12-18,15년10개월,280,376 명
15,토프레소,(주)에스앤큐플러스,2005-10-01,15년0개월,238,31 명
16,청년다방,(주)한경기획,2015-04-01,5년6개월,229,40 명
17,드롭탑(DROPTOP),(주)다도글로벌,2011-08-18,9년2개월,228,55 명
18,커피마마,티에고(주),2010-09-08,10년1개월,219,29 명
19,컴포즈커피(COMPOSE COFFEE),(주)제이엠커피컴퍼니,2014-08-11,6년2개월,214,13 명
20,셀렉토커피,(주)맥스원이링크,2012-11-20,7년11개월,214,43 명
21,봄봄테이크아웃(봄봄TAKE-OUT),(주)봄봄,2015-01-16,5년9개월,183,0 명
22,더리터(THE LITER),(주)더,2015-08-01,5년2개월,183,26 명
23,더카페,(주)이랜드이츠,2002-07-15,18년3개월,173,0 명
24,엑소엑소핫도그앤커피,(주)세컨드찬스,2016-04-22,4년6개월,159,33 명
25,달콤,(주)달콤,2012-05-07,8년5개월,138,156 명
26,카페띠아모,(주)베모스,2005-04-01,15년6개월,130,17 명
27,감성커피,(주)비브라더스,2018-01-02,2년9개월,121,4 명
28,커피니(COFFEENIE),(주)커피니,2009-11-05,10년11개월,119,34 명
29,디에떼에스프레소,(주)디떼,2011-08-26,9년2개월,112,8 명
30,더치앤빈,(주)진심코리아,2014-11-04,5년11개월,111,32 명
31,커피온리,(주)커피만컴퍼니,2016-09-10,4년1개월,108,21 명
32,청자다방,(주)청자다방,2015-09-14,5년1개월,93,14 명
33,매머드커피(Mammoth coffee),(주)매머드커피랩,2013-07-26,7년3개월,91,68 명
34,카페루앤비,(주)루앤비,2012-05-29,8년5개월,91,11 명
35,핸즈커피 (HANDS COFFEE),(주)지핸즈,2007-08-01,13년2개월,86,60 명
36,마시그래이,(주)에스이엠,2014-05-28,6년5개월,79,12 명
37,아마스빈,(주)비케이컴퍼니,2008-08-12,12년2개월,77,11 명
38,우주라이크앤,(주)우주에프앤디,2017-04-03,3년6개월,76,12 명
39,카페글렌,(주)글렌인터내셔널,2009-11-09,10년11개월,74,7 명
40,벌크커피(BULK COFFEE),(주)벌크커피,2018-01-15,2년9개월,66,20 명
41,만랩커피,(주)만랩,2015-10-14,5년0개월,64,21 명
42,만랩커피,(주)만랩,2015-10-14,5년0개월,64,21 명
43,바빈스,(주)퍼스트에이엔티,2012-01-27,8년9개월,63,26 명
44,아리스타,(주)아리스타,2008-02-15,12년8개월,61,11 명
45,텀브커피,(주)위드텀브,2016-01-13,4년9개월,55,14 명
46,텀브커피,(주)위드텀브,2016-01-13,4년9개월,55,14 명
47,텀브커피,(주)위드텀브,2016-01-13,4년9개월,55,14 명
48,카페원플러스원,(주)카페원플러스원,2011-10-15,9년0개월,50,8 명
49,죠샌드위치앤커피,(주)제이에스앤씨,2002-05-26,18년5개월,47,13 명
50,커피나무,(주)커피나무,2011-03-20,9년7개월,47,32 명
51,빌리엔젤,(주)빌리엔젤,2012-06-25,8년4개월,46,225 명
52,매머드익스프레스(Mammoth Express),(주)매머드커피랩,2016-12-01,3년10개월,43,68 명
53,커핀그루나루,(주)커핀그루나루,2008-02-04,12년8개월,42,23 명
54,주커피,태영에프앤비(주),2012-07-01,8년3개월,39,11 명
55,프랭크서울,(주)프랭크서울,2016-08-24,4년2개월,39,6 명
56,라떼떼,(주)엘에이치지,2011-10-18,9년0개월,37,17 명
57,어벤더치커피,(주)카페폴인,2017-03-10,3년7개월,37,11 명
58,커피명가,(주)커피명가,2005-03-01,15년7개월,36,19 명
59,카페보니또,에스프레소코리아(주),2012-07-25,8년3개월,36,29 명
60,카페일루이스,카페일루이스(주),2008-01-01,12년9개월,36,14 명
61,슈퍼커피,(주)슈퍼커피,2014-01-01,6년9개월,36,13 명
62,커피코트,(주)커피코트,2016-05-02,4년5개월,33,8 명
63,달리는커피,써니유통,2017-07-21,3년3개월,33,1 명
64,알리바바커피앤도넛,알리바바파트너스(주),2016-06-01,4년4개월,32,2 명
65,포트오브모카(Port of Mocha),(주)에소코리아,2011-04-03,9년6개월,31,8 명
66,터치카페,(주)더블유씨엠인터내셔널,2017-09-15,3년1개월,31,7 명
67,더웨이닝커피(THE WAIN-ING COFFEE),(주)웨이닝코리아,2010-02-22,10년8개월,30,31 명
68,베스트빈,(주)에스에이치네트웍스,2004-09-10,16년1개월,30,8 명
69,카페아이엠티,(주)편안,2011-11-08,8년11개월,30,7 명
70,복고다방,(주)에스엔인더스트리,2015-08-03,5년2개월,30,9 명
71,퀸즈브라운,대현패밀리(주),2015-03-01,5년7개월,29,3 명
72,빈스빈스,(주)빈스앤로스터리코리아,2007-07-01,13년3개월,28,35 명
73,비엔나커피하우스,(주)제이엠케이,2017-05-08,3년5개월,27,26 명
74,다빈치커피,(주)다빈치,1997-02-01,23년8개월,27,33 명
75,모캄보,(주)마스터코리아,2008-07-03,12년3개월,27,12 명
76,디초콜릿커피앤드,(주)할리스에프앤비,2015-01-01,5년9개월,26,863 명
77,아마떼,(주)한국창업경제연구소,2011-11-15,8년11개월,26,8 명
78,탭플레이(TAPLAY),(주)해피랜드에프엔비,2016-06-24,4년4개월,26,27 명
79,하바나익스프레스,(주)주원에프앤비,2014-05-08,6년5개월,25,5 명
80,커피홀(coffee hole),(자)동명식품서울지점,2011-07-14,9년3개월,25,47 명
81,해리스카페,(주)해리스,2010-02-01,10년8개월,24,10 명
82,꿀스커피GGUL'S COFFEE,(주)정직한,2018-04-26,2년6개월,23,8 명
83,아임일리터,㈜아임일리터,2017-04-15,3년6개월,22,0 명
84,허니빈스(HoneyBean's),씨엔지글로벌(주),2012-06-15,8년4개월,22,5 명
85,커피왕,(주)다다컴퍼니,2016-12-09,3년10개월,22,4 명
86,카페게이트,(유)에브라임이노베이션,2014-03-12,6년7개월,21,62 명
87,커피더캠프,(주)커피더캠프,2016-12-01,3년10개월,21,11 명
